"technique_id","technique_name","enabled_percentage","enabled_count",count
"T1195.002","Compromise Software Supply Chain",0,0,1
T1197,"BITS Jobs",0,0,2
T1200,"Hardware Additions",0,0,4
T1201,"Password Policy Discovery",0,0,1
T1202,"Indirect Command Execution",0,0,3
T1203,"Exploitation for Client Execution",0,0,8
T1204,"User Execution",0,0,43
"T1204.001","Malicious Link",0,0,1
"T1204.002","Malicious File",0,0,14
"T1204.003","Malicious Image",0,0,5
T1207,"Rogue Domain Controller",0,0,1
T1210,"Exploitation of Remote Services",0,0,9
T1213,"Data from Information Repositories",0,0,1
"T1213.002",Sharepoint,0,0,1
T1218,"System Binary Proxy Execution",0,0,28
"T1218.003",CMSTP,0,0,1
"T1218.005",Mshta,0,0,4
"T1218.007",Msiexec,0,0,3
"T1218.011",Rundll32,0,0,5
T1219,"Remote Access Tools",0,0,10
T1220,"XSL Script Processing",0,0,1
T1222,"File and Directory Permissions Modification",0,0,20
"T1222.001","Windows File and Directory Permissions Modification",0,0,16
"T1222.002","Linux and Mac File and Directory Permissions Modification",0,0,3
T1482,"Domain Trust Discovery",0,0,2
T1484,"Domain or Tenant Policy Modification",0,0,20
"T1484.001","Group Policy Modification",0,0,8
"T1484.002","Trust Modification",0,0,1
T1485,"Data Destruction",0,0,18
"T1485.001","Lifecycle-Triggered Deletion",0,0,1
T1486,"Data Encrypted for Impact",0,0,2
T1489,"Service Stop",0,0,10
T1490,"Inhibit System Recovery",0,0,8
T1497,"Virtualization/Sandbox Evasion",0,0,9
"T1497.003","Time Based Evasion",0,0,2
T1498,"Network Denial of Service",0,0,1
T1499,"Endpoint Denial of Service",0,0,4
T1505,"Server Software Component",0,0,18
"T1505.001","SQL Stored Procedures",0,0,6
"T1505.003","Web Shell",0,0,9
"T1505.006","vSphere Installation Bundles",0,0,1
T1518,"Software Discovery",0,0,1
T1526,"Cloud Service Discovery",0,0,3
T1528,"Steal Application Access Token",0,0,8
T1529,"System Shutdown/Reboot",0,0,4
T1530,"Data from Cloud Storage",0,0,4
T1531,"Account Access Removal",0,0,6
T1537,"Transfer Data to Cloud Account",0,0,6
T1542,"Pre-OS Boot",0,0,3
"T1542.001","System Firmware",0,0,1
"T1542.003",Bootkit,0,0,1
T1543,"Create or Modify System Process",0,0,16
"T1543.003","Windows Service",0,0,7
T1546,"Event Triggered Execution",0,0,10
"T1546.001","Change Default File Association",0,0,2
"T1546.004","Unix Shell Configuration Modification",0,0,1
T1547,"Boot or Logon Autostart Execution",0,0,11
"T1547,","",0,0,1
"T1547.001","Registry Run Keys / Startup Folder",0,0,2
"T1547.006","Kernel Modules and Extensions",0,0,6
"T1547.014","Active Setup",0,0,1
T1548,"Abuse Elevation Control Mechanism",0,0,21
"T1548.001","Setuid and Setgid",0,0,2
"T1548.002","Bypass User Account Control",0,0,5
"T1548.003","Sudo and Sudo Caching",0,0,5
T1550,"Use Alternate Authentication Material",0,0,5
"T1550.003","Pass the Ticket",0,0,1
T1552,"Unsecured Credentials",0,0,20
"T1552.001","Credentials In Files",0,0,3
